Date,Country,Confirmed,daily_confirmed_case,ret_rec_ch,gr_ph_ch,par_cha,tra_sta_ch,wor_ch,res_ch
2020-02-27,Denmark,1,0,2,1,21,2,3,0
2020-02-28,Denmark,1,2,17,1,23,6,2,-1
2020-02-29,Denmark,3,1,10,-4,-17,5,0,0
2020-03-01,Denmark,4,0,21,-7,-5,5,1,0
2020-03-02,Denmark,4,2,11,-5,28,1,2,0
2020-03-03,Denmark,6,5,10,-5,9,-1,2,0
2020-03-04,Denmark,11,0,9,-5,16,1,2,0
2020-03-05,Denmark,11,13,10,-3,30,-1,2,0
2020-03-06,Denmark,24,0,7,-3,11,-2,1,0
2020-03-07,Denmark,24,13,10,-2,47,7,1,-1
2020-03-08,Denmark,37,55,11,-8,-7,-1,-2,0
2020-03-09,Denmark,92,172,5,-5,14,-3,0,1
2020-03-10,Denmark,264,180,3,-4,-6,-7,0,2
2020-03-11,Denmark,444,173,5,5,25,-10,-1,2
2020-03-12,Denmark,617,187,-11,22,-16,-36,-28,12
2020-03-13,Denmark,804,32,-28,-7,2,-48,-44,16
2020-03-14,Denmark,836,39,-31,-9,86,-36,-16,8
2020-03-15,Denmark,875,58,-33,-24,-8,-50,-22,8
2020-03-16,Denmark,933,92,-24,-14,50,-52,-50,17
2020-03-17,Denmark,1025,91,-25,-4,38,-55,-52,18
2020-03-18,Denmark,1116,109,-41,-21,11,-61,-54,20
2020-03-19,Denmark,1225,112,-39,-20,104,-58,-55,19
2020-03-20,Denmark,1337,83,-44,-22,64,-62,-56,21
2020-03-21,Denmark,1420,94,-48,-21,85,-55,-27,11
2020-03-22,Denmark,1514,58,-38,-25,49,-60,-28,9
2020-03-23,Denmark,1572,146,-36,-20,54,-60,-55,19
2020-03-24,Denmark,1718,144,-36,-18,61,-60,-55,19
2020-03-25,Denmark,1862,161,-37,-18,67,-59,-55,19
2020-03-26,Denmark,2023,177,-36,-17,91,-59,-55,19
2020-03-27,Denmark,2200,166,-39,-18,96,-61,-55,19
2020-03-28,Denmark,2366,198,-43,-14,79,-56,-28,10
2020-03-29,Denmark,2564,191,-37,-22,35,-60,-28,9
2020-03-30,Denmark,2755,284,-33,-18,53,-59,-54,18
2020-03-31,Denmark,3039,251,-23,-4,70,-54,-53,17
2020-04-01,Denmark,3290,283,-32,-12,13,-58,-54,19
2020-04-02,Denmark,3573,373,-34,-13,11,-61,-55,20
2020-04-03,Denmark,3946,323,-35,-10,32,-61,-55,19
2020-04-04,Denmark,4269,292,-38,-8,59,-53,-25,10
2020-04-05,Denmark,4561,314,-22,-12,118,-49,-23,7
2020-04-06,Denmark,4875,391,-15,-5,161,-52,-59,16
2020-04-07,Denmark,5266,331,-13,4,167,-51,-59,16
2020-04-08,Denmark,5597,233,-9,11,131,-51,-60,15
2020-04-09,Denmark,5830,184,-40,-16,188,-62,-82,22
2020-04-10,Denmark,6014,177,-60,-36,172,-65,-82,24
2020-04-11,Denmark,6191,178,-31,4,50,-52,-23,8
2020-04-12,Denmark,6369,144,-36,-20,123,-47,-23,6
2020-04-13,Denmark,6513,193,-56,-30,107,-65,-84,24
2020-04-14,Denmark,6706,170,-15,4,65,-53,-49,16
2020-04-15,Denmark,6876,198,-23,-5,58,-51,-48,17
2020-04-16,Denmark,7074,194,-23,-4,95,-50,-47,16
2020-04-17,Denmark,7268,169,-26,-6,127,-50,-45,15
2020-04-18,Denmark,7437,143,-33,-5,121,-43,-14,7
2020-04-19,Denmark,7580,131,-21,-12,127,-43,-14,5
2020-04-20,Denmark,7711,180,-14,-5,126,-42,-41,13
2020-04-21,Denmark,7891,217,-15,-2,142,-40,-39,13
2020-04-22,Denmark,8108,163,-18,-4,137,-40,-39,12
2020-04-23,Denmark,8271,137,-18,-3,171,-40,-39,12
2020-04-24,Denmark,8408,235,-25,-5,117,-46,-40,13
2020-04-25,Denmark,8643,130,-29,-3,123,-40,-13,6
2020-04-26,Denmark,8773,123,-22,-12,80,-45,-16,5
2020-04-27,Denmark,8896,153,-20,-9,55,-44,-39,13
2020-04-28,Denmark,9049,157,-20,-6,99,-39,-37,11
2020-04-29,Denmark,9206,150,-26,-9,15,-45,-38,14
2020-04-30,Denmark,9356,153,-28,-1,11,-44,-39,14
2020-05-01,Denmark,9509,96,-29,0,68,-46,-49,16
2020-05-02,Denmark,9605,116,-34,0,54,-40,-14,7
2020-05-03,Denmark,9721,147,-20,-7,106,-35,-9,4
2020-05-04,Denmark,9868,151,-21,-2,83,-37,-35,11
2020-05-05,Denmark,10019,117,-22,0,96,-35,-33,11
2020-05-06,Denmark,10136,145,-22,2,77,-35,-33,11
2020-05-07,Denmark,10281,135,-12,17,150,-31,-33,7
2020-05-08,Denmark,10416,101,-56,-30,226,-51,-78,19
2020-05-09,Denmark,10517,110,-22,11,173,-27,-6,3
2020-05-10,Denmark,10627,84,-17,1,78,-33,-5,2
2020-05-11,Denmark,10711,78,-16,1,62,-35,-32,11
2020-05-12,Denmark,10789,76,-21,1,42,-36,-31,11
2020-05-13,Denmark,10865,46,-20,1,82,-33,-30,11
2020-05-14,Denmark,10911,78,-19,1,77,-35,-30,9
2020-05-15,Denmark,10989,67,-25,-2,57,-39,-31,10
2020-05-16,Denmark,11056,69,-30,0,38,-37,-8,6
2020-05-17,Denmark,11125,41,-22,-6,33,-41,-7,5
2020-05-18,Denmark,11166,76,-13,-3,32,-32,-25,9
2020-05-19,Denmark,11242,73,-9,3,103,-26,-22,8
2020-05-20,Denmark,11315,65,6,15,172,-18,-22,4
2020-05-21,Denmark,11380,48,-38,-21,337,-42,-77,16
2020-02-26,Norway,1,0,2,2,23,1,-4,0
2020-02-27,Norway,1,5,1,3,14,0,-5,1
2020-02-28,Norway,6,9,1,3,20,1,-5,1
2020-02-29,Norway,15,4,-4,-1,2,2,-2,0
2020-03-01,Norway,19,6,-10,2,-30,-1,-1,0
2020-03-02,Norway,25,7,-2,2,4,0,-2,1
2020-03-03,Norway,32,24,-1,1,6,-2,-1,1
2020-03-04,Norway,56,31,-3,1,9,1,-2,1
2020-03-05,Norway,87,21,0,4,26,3,-2,0
2020-03-06,Norway,108,39,-2,3,18,2,-2,0
2020-03-07,Norway,147,29,-7,0,29,1,-2,0
2020-03-08,Norway,176,29,-11,-2,-37,-9,-2,1
2020-03-09,Norway,205,195,-4,2,11,-2,-2,1
2020-03-10,Norway,400,198,-5,2,-4,-7,-1,2
2020-03-11,Norway,598,104,-6,9,10,-9,-3,3
2020-03-12,Norway,702,294,-6,51,-1,-20,-11,5
2020-03-13,Norway,996,94,-34,5,3,-39,-36,14
2020-03-14,Norway,1090,131,-47,-9,26,-37,-23,8
2020-03-15,Norway,1221,112,-71,-39,-50,-54,-27,11
2020-03-16,Norway,1333,130,-39,-9,22,-49,-48,18
2020-03-17,Norway,1463,87,-44,-15,10,-53,-51,19
2020-03-18,Norway,1550,196,-46,-15,18,-55,-52,20
2020-03-19,Norway,1746,168,-44,-11,24,-56,-52,20
2020-03-20,Norway,1914,204,-44,-12,31,-55,-52,21
2020-03-21,Norway,2118,267,-49,-10,80,-42,-33,9
2020-03-22,Norway,2385,236,-65,-32,-8,-57,-34,12
2020-03-23,Norway,2621,242,-41,-14,-1,-58,-52,20
2020-03-24,Norway,2863,221,-45,-14,-8,-59,-53,20
2020-03-25,Norway,3084,285,-45,-13,0,-58,-52,20
2020-03-26,Norway,3369,386,-43,-10,29,-56,-52,20
2020-03-27,Norway,3755,260,-42,-9,16,-57,-50,21
2020-03-28,Norway,4015,269,-47,-8,29,-50,-33,10
2020-03-29,Norway,4284,161,-65,-32,-5,-57,-34,11
2020-03-30,Norway,4445,196,-37,-11,37,-53,-51,18
2020-03-31,Norway,4641,222,-36,-7,23,-52,-51,18
2020-04-01,Norway,4863,284,-36,-6,18,-54,-50,19
2020-04-02,Norway,5147,223,-37,-4,-7,-58,-50,20
2020-04-03,Norway,5370,180,-35,-3,13,-53,-49,19
2020-04-04,Norway,5550,137,-40,-3,32,-46,-31,9
2020-04-05,Norway,5687,178,-60,-22,14,-52,-32,11
2020-04-06,Norway,5865,221,-16,9,89,-46,-58,17
2020-04-07,Norway,6086,0,-12,27,104,-44,-59,16
2020-04-08,Norway,6086,125,-11,40,37,-52,-64,18
2020-04-09,Norway,6211,103,-80,-80,166,-58,-85,25
2020-04-10,Norway,6314,95,-81,-80,163,-58,-85,26
2020-04-11,Norway,6409,116,-43,-2,-2,-55,-36,9
2020-04-12,Norway,6525,78,-63,-31,12,-52,-34,10
2020-04-13,Norway,6603,20,-80,-80,70,-63,-86,27
2020-04-14,Norway,6623,117,-26,7,3,-52,-47,17
2020-04-15,Norway,6740,156,-29,-3,44,-47,-47,17
2020-04-16,Norway,6896,41,-28,-2,53,-48,-46,17
2020-04-17,Norway,6937,99,-24,3,68,-44,-44,16
2020-04-18,Norway,7036,42,-31,3,99,-30,-21,6
2020-04-19,Norway,7078,78,-41,NA,88,-32,-20,6
2020-04-20,Norway,7156,35,-17,1,106,-37,-43,13
2020-04-21,Norway,7191,147,-20,5,135,-34,-42,12
2020-04-22,Norway,7338,63,-22,4,130,-36,-42,12
2020-04-23,Norway,7401,62,-22,5,93,-38,-41,13
2020-04-24,Norway,7463,36,-25,2,56,-42,-41,13
2020-04-25,Norway,7499,28,-29,1,95,-29,-19,5
2020-04-26,Norway,7527,72,-43,NA,48,-37,-19,4
2020-04-27,Norway,7599,61,-19,-1,20,-41,-38,13
2020-04-28,Norway,7660,50,-18,3,48,-38,-37,11
2020-04-29,Norway,7710,28,-16,7,56,-35,-37,12
2020-04-30,Norway,7738,45,-5,39,51,-34,-38,9
2020-05-01,Norway,7783,26,-74,-78,119,-55,-82,24
2020-05-02,Norway,7809,38,-16,17,95,-25,-16,4
2020-05-03,Norway,7847,57,-39,NA,48,-34,-17,2
2020-05-04,Norway,7904,51,-11,4,51,-35,-36,11
2020-05-05,Norway,7955,41,-13,5,66,-33,-35,11
2020-05-06,Norway,7996,38,-13,6,74,-32,-34,11
2020-05-07,Norway,8034,36,-14,9,70,-34,-34,11
2020-05-08,Norway,8070,29,-14,4,64,-33,-32,10
2020-05-09,Norway,8099,6,-18,5,84,-22,-11,3
2020-05-10,Norway,8105,27,-42,0,2,-44,-15,5
2020-05-11,Norway,8132,25,-10,3,39,-33,-32,11
2020-05-12,Norway,8157,18,-9,9,27,-34,-29,10
2020-05-13,Norway,8175,21,-9,8,52,-30,-27,10
2020-05-14,Norway,8196,23,-5,15,43,-31,-27,8
2020-05-15,Norway,8219,18,-7,12,35,-32,-26,9
2020-05-16,Norway,8237,12,-15,16,21,-30,-10,4
2020-05-17,Norway,8249,8,-29,-22,19,-22,-6,1
2020-05-18,Norway,8257,10,-14,-8,61,-30,-27,9
2020-05-19,Norway,8267,14,-6,5,92,-26,-25,7
2020-05-20,Norway,8281,28,9,41,127,-17,-25,3
2020-05-21,Norway,8309,23,-61,-70,227,-44,-81,19
2020-02-15,Sweden,1,0,2,0,3,4,-2,0
2020-02-16,Sweden,1,0,-10,-7,-30,-11,-5,2
2020-02-17,Sweden,1,0,-4,-3,-3,-6,-6,2
2020-02-18,Sweden,1,0,0,0,13,-4,-5,1
2020-02-19,Sweden,1,0,3,1,26,-3,-5,1
2020-02-20,Sweden,1,0,1,1,-1,-6,-6,1
2020-02-21,Sweden,1,0,5,0,22,-2,-7,1
2020-02-22,Sweden,1,0,0,-1,-10,-2,-3,1
2020-02-23,Sweden,1,0,2,0,23,0,-1,0
2020-02-24,Sweden,1,0,2,0,24,-3,-4,1
2020-02-25,Sweden,1,1,8,9,8,-3,-4,1
2020-02-26,Sweden,2,5,5,2,4,-5,-4,1
2020-02-27,Sweden,7,0,7,4,10,-2,-5,1
2020-02-28,Sweden,7,5,7,2,16,-1,-6,1
2020-02-29,Sweden,12,2,8,4,8,5,0,0
2020-03-01,Sweden,14,1,-1,-2,-7,-6,-2,1
2020-03-02,Sweden,15,6,1,2,10,-3,-2,1
2020-03-03,Sweden,21,14,0,2,5,-4,-2,1
2020-03-04,Sweden,35,59,-2,-1,-2,-5,-2,1
2020-03-05,Sweden,94,7,0,3,8,-4,-2,1
2020-03-06,Sweden,101,60,2,1,24,-1,-2,1
2020-03-07,Sweden,161,42,5,4,36,6,0,0
2020-03-08,Sweden,203,45,1,-2,0,-6,-1,1
2020-03-09,Sweden,248,107,-2,0,8,-5,0,1
2020-03-10,Sweden,355,145,-4,1,3,-6,0,1
2020-03-11,Sweden,500,99,-4,4,10,-7,-1,2
2020-03-12,Sweden,599,215,-12,11,-17,-16,-4,4
2020-03-13,Sweden,814,147,-13,8,-4,-19,-10,6
2020-03-14,Sweden,961,61,-17,9,59,-13,-6,3
2020-03-15,Sweden,1022,81,-25,-2,-15,-30,-10,5
2020-03-16,Sweden,1103,87,-19,3,11,-25,-17,8
2020-03-17,Sweden,1190,89,-24,0,2,-32,-21,9
2020-03-18,Sweden,1279,160,-26,-3,1,-37,-27,11
2020-03-19,Sweden,1439,200,-22,-2,40,-35,-28,11
2020-03-20,Sweden,1639,124,-24,-5,11,-37,-28,12
2020-03-21,Sweden,1763,171,-26,-5,66,-28,-13,6
2020-03-22,Sweden,1934,112,-26,-9,57,-33,-15,5
2020-03-23,Sweden,2046,240,-25,-8,8,-38,-27,11
2020-03-24,Sweden,2286,240,-25,-7,22,-37,-28,11
2020-03-25,Sweden,2526,314,-19,1,25,-36,-28,11
2020-03-26,Sweden,2840,229,-18,-2,48,-35,-28,11
2020-03-27,Sweden,3069,378,-19,-5,43,-35,-29,11
2020-03-28,Sweden,3447,253,-24,-4,52,-29,-15,6
2020-03-29,Sweden,3700,328,-24,-10,43,-36,-18,5
2020-03-30,Sweden,4028,407,-22,-10,8,-39,-29,11
2020-03-31,Sweden,4435,512,-22,-7,27,-37,-29,11
2020-04-01,Sweden,4947,621,-22,-5,27,-38,-29,11
2020-04-02,Sweden,5568,563,-27,-8,-6,-43,-30,13
2020-04-03,Sweden,6131,312,-25,-7,6,-41,-31,13
2020-04-04,Sweden,6443,387,-26,-5,57,-32,-16,6
2020-04-05,Sweden,6830,376,-25,-9,69,-37,-18,6
2020-04-06,Sweden,7206,487,-12,-2,92,-35,-36,11
2020-04-07,Sweden,7693,726,-13,2,65,-37,-36,11
2020-04-08,Sweden,8419,722,-8,9,77,-36,-37,10
2020-04-09,Sweden,9141,544,-3,18,81,-37,-44,12
2020-04-10,Sweden,9685,466,-45,-20,129,-54,-80,21
2020-04-11,Sweden,10151,332,-41,-15,84,-36,-24,6
2020-04-12,Sweden,10483,465,-34,-17,54,-43,-24,6
2020-04-13,Sweden,10948,497,-38,-20,43,-61,-82,23
2020-04-14,Sweden,11445,482,-19,-6,32,-38,-31,11
2020-04-15,Sweden,11927,613,-19,-5,63,-35,-31,11
2020-04-16,Sweden,12540,676,-19,-3,50,-37,-31,11
